Chinese,Pinyin,English
水,shuǐ,water
咖啡,kā fēi,coffee
和,hé,and
的,de,of
茶,chá,tea
奶茶,nǎi chá,milk tea
绿茶,lǜ chá,green tea
米饭,mǐfàn,rice
饭馆,fàn guǎn,resturant
汤,tāng,soup
热,rè,hot
这是,zhèshì,this is
这,zhè,this
这里,zhèlǐ,here
哪里,nǎlǐ,where
在,zài,is (where) / in
是,shì,is (what)
还是,háishì,or
粥,zhōu,porridge
豆腐,dòufu,tofu
美国,měiguó,America
英文,yīngwén,English
英国,yīngguó,UK
李天美,lǐ tiānměi,Li Tianmei
中国,zhōngguó,China
中文,zhōngwén,Chinese
中学生,zhōngxuéshēng,middle school student
日本,rì běn,Japan
我,wǒ,I
我叫,wǒjiào,my name is
我们,wǒmen,we
你,nǐ,you
你呢,nǐ ne,how about you
你好,nǐ hǎo,hello
你们,nǐ men,you all
韩国,hánguó,Korea
医生,yī shēng,doctor
学生,xuésheng,student
大学生,dàxuéshēng,college student
老师,lǎoshī,teacher
老公,lǎogōng,husband
老婆,lǎopó,wife
老家,lǎojiā,hometown
律师,lǜshī,lawyer
对,duì,correct
对不对,duìbuduì,is that correct
不,bù,no
不常,bùcháng,infrequently
不客气,búkèqi,You're welcome
说,shoū,speak
数学,shùxué,math
同学,tóngxué,classmate
喜欢,xǐ huān,like
课,kè,class
大,dà,big
加拿大,jiānádà,Canada
他,tā,he
她,tā,she
音乐,yīnyuè,music
爸爸,bàba,dad
儿子,ér zi,son
女儿,nǚér,daughter
好玩儿,hǎowán r,fun
房子,fáng zi,house
桌子,zhoū zi,table
妈妈,māma,mom
公园,gōngyuán,park
公寓,gōngyù,apartment
也,yě,also
去,qù,to go
常常,chángcháng,frequently
非常,fēicháng,extremely
书店,shūdiàn,bookstore
书,shū,book
超市,chāoshì,supermarket
菜,cài,cuisine / dish
吃,chī,to eat
买,mǎi,to buy
零食,língshí,snack
看,kàn,to read / watch / see
谢谢,xièxie,thanks
杯,bēi,cup of
要,yào,want to
牛奶,niúnǎi,milk
两,liǎng,two
冰,bīng,ice
冰箱,bīngxiāng,refridgerator
客厅,kètīng,living room
手机,shǒu jī,cellphone
洗手间,xǐ shǒujiān,bathroom
钱包,qiánbāo,wallet
房间,fángjiān,bedroom
火车站,huǒchēzhàn,train station
火车,huǒchē,train
车票,chēpiào,ticket
站台,zhàntái,platform
哎呀,āi yā,oh no
行李,xíng li,luggage
新,xīn,new
有,yǒu,have
王明,wángmíng,Wang Ming
今天,jīntiān,today
夏天,xiàtiān,summer
冬天,dōngtiān,winter
四,sì,four
历史,lì shǐ,history
真的吗,zhēndema,Really?
的时候,deshíhou,"(when, while, during)"
吗,ma,(question)
只,zhǐ,only
小,xiǎo,small
